"Date","s23_obs","s54_obs","s23_stationary_PLS","s54_stationary_PLS","s23_stationary_PCA","s54_stationary_PCA","s23_classic_PCA","s54_classic_PCA","s23_classic_PLS","s54_classic_PLS","s23_stationary_SPCA","s54_stationary_SPCA","s23_stationary_SPLS","s54_stationary_SPLS"
2017-12-01,8.40528622715442,5.10599760548847,4.65217849176751,2.1129363459733,7.37636958186904,3.63773783985512,9.88609607714432,6.08720321426104,6.698900988552,5.48968337598673,4.22829730935658,2.64844500563848,5.02995253432068,5.0060099751751
2018-01-01,5.73531954344341,2.35519538377247,4.53497765363205,1.286411768298,6.82401847431664,3.13576744925894,10.9105205762374,6.92137847351451,5.31708105632941,4.53729624045447,5.30528456765441,2.52632314791486,3.38279597503486,3.48907906750218
2018-02-01,8.30348353105642,4.4400416692225,0.531823537294299,-0.212829338564872,2.26159095067856,0.551319494596204,0.0389905051959762,0.0894700344917168,-1.50919612954123,-1.90964063133511,3.56749419109725,0.764702031636774,-0.022758878350801,-1.82299512405958
2018-03-01,5.89816324328041,6.45130855914652,4.05238942503081,1.57159605294081,4.26000119890548,2.00807783590733,2.01244589639247,1.05717192986607,1.26928046786764,-0.845309180211174,7.66321340209669,2.81903851587203,-1.11826345519737,-2.30712094509111
2018-04-01,4.07219661412342,5.28872515110453,3.90952029045828,0.729469470080055,4.28880268912726,1.69368808137801,3.63965712314135,2.28731079555067,0.431611657683217,-0.859378292971952,3.11234523969062,1.244686514643,0.309425696720985,-0.982408071839436
2018-05-01,6.51895051485942,4.17834117694354,5.9927711650628,2.39854591932369,6.97250747228403,3.51436068405759,7.02916101472908,4.15953187719448,5.41494542562157,3.21948604181072,6.91447568008301,3.37658666901875,3.15688522148212,2.16671875557329
2018-06-01,5.56417243759741,5.22293872329457,7.71976026200849,4.74235976131319,7.48668723401419,4.67824772158464,5.92747430341776,3.00754633060998,8.31279923781514,3.67895727943107,11.1055823500093,5.63624332652983,2.28732268424935,1.03709982438351
2018-07-01,7.60715800439141,0.221569520432571,5.44987253997423,2.5817847800084,5.07657256803688,2.93216106025789,5.80257225391784,3.33751589131688,4.82351731970947,2.15248442104462,7.8343730363426,3.61154342096756,0.502736733565652,0.0198777466917495
2018-08-01,2.33828360166142,3.59291163733861,3.07646147343404,0.713982312076629,4.79657842748268,2.01681823206514,5.69184331627917,3.6094694110404,2.18697668516315,1.3293559033236,3.8642081355012,1.60326943134361,1.88041729940411,0.940057266491875
2018-09-01,5.91195393193742,3.35454332277461,7.23126751395928,3.13151115733705,7.33300028840379,3.88561216496267,6.17222445611059,3.47016484438968,5.96762810003828,2.89727230963887,7.0734730415148,3.73802428178797,1.3593676841776,1.02784995841257
2018-10-01,5.92361718967142,3.44950149903963,4.93986119551928,1.16701663366578,6.49804657562441,2.68475211362522,6.29994592873246,3.93847096650482,2.53178704034807,1.29912530356668,4.93078190151323,2.10071715760091,3.7468828105391,1.67839960070429
2018-11-01,-2.86532830131959,2.04876145741864,5.93965709163094,2.48163981352201,7.50032690806259,3.58132566234131,5.72741416290723,3.31371820209732,4.4426369074889,1.86000882111014,7.50183045810274,3.44138653636876,-0.0626109144509039,-0.250890627008977
2018-12-01,3.49152781829442,-1.19035931790333,5.39614381655435,2.30284384276217,8.09827117913541,3.81833955354085,7.00643410943956,4.17017166969177,5.53538150322983,3.48256338618054,8.13483126232117,3.62966442599809,-1.98782326994656,-0.185061952053367
2019-01-01,6.47827065461542,-1.69993371530333,1.9431950871915,-0.0170235959417691,5.1153865727853,1.79071933440844,5.48574204937944,3.59836258872272,1.97443296001263,2.43672773686702,7.49207645263429,2.19016229937295,-1.97688206173027,-0.261700069992493
2019-02-01,4.32272133445342,-2.0598988460363,3.8466030820204,2.1651026885095,4.69012619284558,2.55329560407646,4.17533026857084,2.34889023978506,4.56223489274561,2.77281130076264,5.60935658320222,2.74536592421055,-2.92475585448223,-0.581522071937008
2019-03-01,2.80468781231142,-0.0545701762732838,1.33724481268883,0.965607428717219,0.360104469416412,0.422227847588007,0.0570539478288845,-0.101645394845784,0.362752184452897,-0.773254801462786,1.20103773648911,0.69517386084909,-2.34857961516707,-1.73122863176113
2019-04-01,4.77046569728642,-0.42296992425727,3.71970831793028,2.24986086861894,3.18832741484082,1.95475473947578,1.31892968560007,0.46697867697818,3.19328484042204,1.05138465377412,5.15925564898073,2.50945838936422,-2.66967922282328,-1.41090858273214
2019-05-01,0.442980652225419,-3.78924855485425,5.68242362213908,3.54446827252572,2.770781361302,2.39282356455246,1.86652282802257,0.590945445647014,5.01276420329872,1.62406558746424,5.88834238301784,3.37154272831955,-2.6461349586923,-1.28643801946999
2019-06-01,2.88350567233542,-3.41234102817124,8.55180776252946,5.21968486654981,4.91097758210742,3.87257229995889,2.56100308188821,0.715563303959478,8.15083367438792,3.36764375384614,8.39900894233521,4.99560183146529,-0.777407821242798,0.0408428635029487
2019-07-01,0.53080329473541,0.799829139456779,3.06436106993739,2.07199066961532,1.22763301691105,1.29716308290773,1.85688581206474,0.846052151259385,3.64382627931027,2.09299190435969,3.4168300982341,2.00506280906935,0.25285234739073,0.878598668007959
2019-08-01,-0.0766380768115873,-2.20348318621219,2.25972246787337,0.913988731464552,-0.666792137535669,0.243935119959849,1.82512211616431,1.02686513442829,2.11734360290058,1.53490422574761,1.86030668664789,1.03810638738501,0.38915091889951,0.811095799027751
2019-09-01,-2.32382129524059,-0.576142428682186,2.76079091965662,1.21317266012689,-1.47652583069924,0.0563858559023633,0.96058637762926,0.412314247659299,1.92704589119435,0.991361357814655,2.1154630279483,1.21367177775568,4.82848781907575,2.41809177583727
2019-10-01,-4.04707730088259,-1.11741523250016,2.19904343250315,1.39345629587979,-3.07556847837934,-0.369034457179379,-1.15077130811159,-1.02526727593817,2.06591097579609,0.894100058434911,2.65932401460702,1.40883517777678,-0.157830507121286,-0.044117752324595
2019-11-01,-3.00706033850359,2.13257947519084,-1.93335375431963,-1.23819422464843,-5.41705305755077,-2.15791794963061,0.00741313133069443,0.215330463671113,-0.605424942866903,1.08701484805673,-1.27831459599025,-0.914852618676951,-2.13744984889317,0.109767134698413
2019-12-01,-1.88517815286158,0.933888082697866,-1.02214548854958,-0.647566128748622,-3.92332379166985,-1.41694641302234,0.106785435483066,0.159982108587248,0.562838600770779,1.86967589768066,-0.772931809063516,-0.431819428015194,1.85427795961849,2.25929259751053
2020-01-01,-2.75099187335058,-0.648520299151126,-2.96723554789416,-2.15169871413544,-4.52484467737711,-2.23992376617078,0.769452528974077,0.868361331256248,-1.12176322811967,1.83686127458003,-3.65096753284839,-1.91313633361596,6.47668583195313,4.87369494553585
2020-02-01,-5.65824607754358,-4.74008999112409,2.35593405681901,1.47217651923791,-0.603826003285437,0.586844754210187,1.58201799153793,0.730799978193877,4.15557521770126,3.64411272479702,2.51065734375535,1.59616255017651,3.46430162650488,3.46218966742146
2020-03-01,-5.40307573732158,-6.41869180402808,2.6603063233626,1.89215225905307,-2.57780387101763,0.18964807824297,0.950045461575177,0.220206223912006,5.23638339696063,4.53758078092859,2.00729554539721,1.71391403623374,3.92875239156139,4.20021186025426
2020-04-01,-37.6432594353456,-5.10210909486908,-8.0051131905002,-3.58924048454721,-11.8780575757704,-5.71841203148834,-11.1770716920946,-6.67686152784908,-7.93370860356557,-4.50563774209019,-8.04514881595048,-4.42253008467536,-3.09398007620895,-2.57102389328129
2020-05-01,-36.3165477988496,-10.979057311943,-34.9351586548243,-18.2788580960037,-36.9222200455735,-20.2975027657395,-32.1064595358214,-17.8119907747685,-31.4035419616865,-14.4201017418496,-33.8962224562723,-19.2657894699114,-7.5780733410168,-6.2105859141484
2020-06-01,-22.8008719247506,-15.584183782698,-40.3698029563832,-18.7764882071724,-40.827280284438,-21.6678342359226,-35.6718023012471,-20.109512872776,-30.3841299984659,-11.8357691301008,-34.2388716464909,-19.5944917445804,-7.25552065280897,-4.24342568014848
2020-07-01,-22.5321253116866,-6.89119518648202,-14.5204613921785,-4.87964122591315,-19.0778301658306,-8.68210250482193,-21.180476100887,-13.0762783016056,-10.0441879786185,-4.60051055165697,-11.120546024351,-6.10479676480054,-7.45856322955,-3.74302748475634
2020-08-01,-14.2992495010306,-4.92241212579901,-5.71928514557846,0.483020705665234,-9.85368788074753,-3.22166654704129,-14.6817700069483,-9.80933212678406,-0.245440646578441,0.651361898302843,-1.63410972678748,-0.56636769574071,-5.25217059651236,-1.1908604057879
2020-09-01,-15.5450046153396,-8.31169224088198,-7.37103229924597,-2.17018677353789,-10.4081200246221,-4.62022403765701,-12.5630205265491,-7.88604529249305,-5.02785743024322,-2.04144948843445,-5.8351940099468,-3.09277295483746,-4.70675736029496,-1.61864372178862
2020-10-01,-11.7768906609996,-5.10363451520396,-3.49698249932669,0.242641471351591,-6.00095660310165,-2.09475690904349,-10.3703445597984,-6.89426451905165,-0.948214240526473,-0.377672760043657,-1.74186745828159,-0.667568471438912,-4.37109996468653,-1.55837167766214
2020-11-01,-8.87023689281758,-8.65130897379295,-1.62472880644521,0.414138913437804,-4.67278767779277,-1.60253132792452,-8.84287783478876,-5.91727390721916,-0.732807190138066,-0.345644663649513,-1.01393759346045,-0.365517886933132,-5.95467422238174,-2.09794656074632
2020-12-01,-11.2686493599146,-5.57172416444994,-2.91941705240203,-0.46486941828982,-4.66199656302743,-1.97557363227359,-8.70921497898538,-5.65625167294896,-2.28393141386951,-1.52343890784124,-2.71663925978082,-1.27017462719872,-5.49147285916787,-2.65584221424654
2021-01-01,-10.7937807491916,-4.81946948038592,-1.18527432616967,0.692945033858614,-3.88872948060673,-1.31512128614031,-9.70114875160133,-6.50690124969724,-1.67358185465769,-2.32030910300215,-2.07859913533505,-0.593451011514392,-6.20524152323957,-3.66672957843065
2021-02-01,-7.54282792100458,-2.68575565747089,-4.31136671748044,-1.95634321648864,-5.13700727660572,-2.78903547393829,-8.37546325170164,-5.1492997068963,-4.98642792262366,-3.11722483493348,-5.97710066625154,-2.91859775321518,-5.49643288210447,-3.0455898460364
2021-03-01,-8.60171485412458,-4.03763125413289,-10.1296630295942,-4.81225816466842,-8.92759864052606,-5.19905502402686,-10.3029466922813,-5.90892225805238,-8.58258752671657,-3.70296828106566,-10.1649185001148,-5.49655715281869,-4.90735942410344,-2.26744106890429
